Name,ID,Ratings,Windows,Web,Mac,Linux
Neon Jumper,694705,9,True,False,True,True
Wild Plants,699657,15,False,False,False,False
Drunk Driving,695830,8,True,False,False,False
Medieval Nanny Simulator,696033,100,False,True,False,False
South Is Down,696758,8,True,False,True,False
Escorting Deviation,696595,21,False,True,False,False
Control Swap,695276,9,False,False,False,False
CodeBreak,694471,19,True,False,True,False
"Snip, Snip!",694729,9,True,False,False,False
Descontrol,695261,13,True,False,False,False
Rogue A.I,699695,23,False,True,False,False
Out of Body,700003,9,True,False,False,False
Pandemic,699439,9,True,False,False,False
Evelynne's Tactics,694856,13,False,False,False,False
The Robotic Trolley Problem,696591,16,True,True,False,False
Alkadios,699813,21,True,False,False,False
CatchOnFire,695779,23,True,False,False,False
Lawn Bot,696494,8,False,False,False,False
A Series of Poor Repairs,696454,6,False,False,False,False
Primate Piracy,694484,10,True,False,False,False
Keyboard Warrior,698910,8,False,False,False,False
Otome,698664,10,True,False,False,False
Sleep Mode,694090,19,True,True,False,False
High 9 to 5,697985,8,True,False,False,False
Please Stand By,698460,20,False,True,False,False
Confrontation - GTMK 2020,697960,9,True,False,False,False
Plague Doctor,695263,12,True,False,False,False
Henri goes to war,697097,56,False,True,False,False
ZAMBS to the SLAUGHTER,694096,8,False,False,False,False
BottleBoss,698159,8,False,False,False,False
Blueberry Jammed,694557,11,False,False,False,False
Lenny: Snuzzlepuff Trouble,695447,11,True,False,False,False
Dont Panic,700577,9,True,False,False,False
Mob Mall Madness,696722,19,False,True,False,False
Control B(Game Jam Version),696533,6,False,False,False,False
Ant of Control,698928,7,False,False,False,False
Void Ball,699388,12,True,False,False,False
Haywire,699133,9,True,False,False,False
Dragon Untowers,700377,12,True,False,False,False
Control is an illusion,694568,9,False,False,False,False
The Infection,699543,10,True,False,False,False
orphan bus,698028,10,False,False,False,False
Control Panel ON!,694815,39,False,True,False,False
Covert Kitty,696649,22,False,True,False,False
OUT OF CONTROL,693488,9,False,False,False,False
GMTK Game Jam  2020,696639,9,True,False,False,False
