Name,ID,Ratings
Fire Control Brigade (FCB),700542,6
Astro Flora,696515,6
Darn You Dogs!!!,698479,5
Swords need not apply,695198,12
We Come In Peace,695593,25
Button't,699197,7
Control Tower,697811,19
Jumbled,698340,14
South Is Down,696758,6
Slow the Spread,696543,7
The Lone Guard,696442,11
Ice Spheres,694437,12
Ork &amp; Minion,694558,13
Out Of Control,696341,7
Bull in a Brewery,699422,6
Bouncing out of space,695853,16
Frictionless,694308,5
Fiery Forest Frenzy,698230,13
Delayed Dungeon,695373,4
Cushin Pushin,699410,16
Understaffed Tank Crew,698083,24
Control is an illusion,694568,4
Chopsticks Simulator,696106,26
Constellation Chaos,700094,9
RAGE MOW'D,698064,12
GMTK 2020 Game Jam Game,695725,7
Box Control,698720,5
Out of CTRL,700682,5
Zero Gravity,697020,18
Enter the Gun Jam,694973,9
Deep Sea Disorder,696794,7
"Spirits, Save Me!",694828,18
Out Of Controller,695418,11
No more control,695658,16
Counter Control GMTK 2020,695979,6
#VoteFromHome,695588,10
Keep your mind in control,694485,6
Grapple Bot Racing,694519,13
Mod Pls,698408,7
smileyPC,699566,4
Karen-tastrophe,699784,18
Moven't,699401,38
Cat-tastrophe,697260,22
Vampire attack,697014,4
∞RUSH,696383,4
Speedrun Chaos,696647,5
Utility,695302,7
crazy weapons,696420,4
Bolito,697926,5
The Avarice Storm,698238,8
Mad laser factory,700470,3
S.S. Demise,695095,13
Confused,696167,4
No Robots Were Harmed,698060,4
Farm Control,697292,4
Ability Surge,700450,4
How do I land this thing?,700540,4
Candy-Mancer,699246,0
Crouch control,699742,16
cest la vie,695973,4
Mind Of Its Own,696062,4
Memories of a Room,694773,4
Concert Goes Wrong!,698883,6
Miss Module,699942,7
SCREAMBALL,696711,5
DEMON CORE,694560,19
Control Subject,694290,6
Trelos Amigos,695317,22
2037,700116,14
Only 3 Buttons,697006,6
Emotional Ride,696625,13
"I'm Sorry Sir, We're Out Of Control",695116,24
Revenge of the Blobs,694232,25
"Lose Control(s), A simple keyboard test",700096,6
Gravity Break,700298,4
Super Mega Robot Jetpack Murder Simulator &lt;Turbo&gt;,695000,13
Kill The DJ!,692977,26
Big Zeal Adventure 2020,695313,18
Obei,699855,12
Can't Stop The jumpin',693350,23
ThunderStuck,697979,14
Ingolfable,696013,6
Curse of the Black Horse,699541,5
Losing Control(s),696544,12
GMTK2020: Gundam Manual Tournament Koliseum,697994,14
Light Speed or Bust,698138,7
Laggy Bones,700810,16
tank out of move,696841,8
