Name,ID,Ratings
Blob Quarters,699284,9
Yeezy 2020: The Game,697240,20
Chaincards: A Poppo Story,693436,6
Berserker,699263,14
All Ctrl,695601,9
Let's party,699233,8
Forgotten Control,694092,4
Local Man Eats Everything,697131,5
Bunny Dreams,700991,10
No Brakes!,694866,11
Guncontrollable,698464,41
Distress,696424,5
Forever Bullet,697188,15
Frenesí,699965,13
Space Jumblers,700606,19
Cloudy Mind,700374,5
Out Of Control,697309,17
The fool lost in time,699890,4
firefighter - GMTK 2020,696329,4
Kraken Keyboards,694757,6
Mission: Rehydration!,699789,6
Moustrap,696743,5
Rona Crisis - GMTK Jam 2020,698458,6
Bullet Points,696294,9
Colour Holding Platformer Prototype,677237,9
CORONA VAIRUS,700119,8
FallingDown,695596,16
Workfloor out of control,697642,4
Tsy voafehy,699179,8
Foobar,698210,4
Braking Down,698075,5
Go With The Flow,699216,8
Pulse,695595,4
Return to Sender,697045,4
Ignite Bike,694286,17
The Emotions,695726,6
Green Demons,693477,4
SkyLand,696134,4
Limited Action Runner,694650,11
Hecter the novice mage,694655,7
100 Enemies || GMTK Jam 2020,699180,51
Out Of Controls,695040,13
SABRE,696086,4
OutOfOrder,696112,16
Toady McLick,700250,19
Lose Control,694100,20
Drunken Warlock (GMTK Jam 2020) 🎲✨,697945,14
Interfearence,695978,28
"Stranded, Jumbled, Scrambled... In Space",699703,4
Unintentional,699210,6
Drone out,694044,5
Out of Control (literally),694676,17
Mushroom farm,695633,14
Take the Wheels!,696092,21
Weapon Roulette,696629,9
OUT-CTRL,699122,7
Lost Signal,693821,34
"Out of the Frying Pan, Into the Enemy Fire: PEW-PEW",699346,5
Protect The Dragon,697198,4
Out of Ctrl,697469,25
Two Beat Reload,699283,4
Autoa,699669,6
I Want To Help You Bro BUT ...,696867,5
Twisty Tombs,696631,20
CARP,694160,9
Out of Options,700005,9
Wound Up,700077,11
SURVIVE THE WAVE,695789,17
WordCross,698380,12
Eggpert control,695671,7
Evil's Turn (GMTK Game Jam 2020),695623,4
Smole space astronaut floats,700091,12
Janitor Joe : Earth Defender,698586,8
Plague,699015,9
eXtreme train,698336,9
remenants of the best try of devs trying to have control over time. incomplete,698308,4
Map Hopper,698443,10
RNG RPG,698194,4
Computer Troubles,696190,19
Pellicalo,698830,8
Hunter From Down Under,697016,8
Stimulant,698266,9
Escaping with a Malfunctioning Jump,695267,10
Keyboard Warior,698910,4
Martin for Superintendent,697542,4
Dr. Riddle &amp; Mr. Might,694329,16
Mean Screen,696514,7
Harriet's Hasty Harvest,698981,6
Platforming Twister (GMTK 2020),698892,4
Too Many Bunnies,695241,12
Hapless Hero,698507,10
Hot Dog,697713,0
Poles Apart,698538,6
Demonic Trial,697636,16
A.A.A.A.A.A.A.,698392,11
Neurodivergent Heroes,694879,29
Out Of CTRL,694019,43
My Goddess is Upset (GMTK jam),698911,6
Yeet Me Down A Hill,693904,16
Last dash,693906,15
Zombies out of control,696996,9
Out of CTRL,698689,7
Zombie Monocyclist,698197,7
AVA's Destiny,698157,10
Populus Kingdom,694981,22
Glitch Hitch,698899,3
Chopter Pop,696842,6
ORDEEER!,693606,24
Higher Beings,696874,9
GMTKJam,698281,4
Don't Eat Those Cookies!,699258,11
OUT OF POWER,693655,7
Out of Control,696548,14
OverShopped,698058,5
Necrokey,698672,5
Zombie LMG,694385,19
Memories,700813,6
"Oh My Gosh! I Was Playing a Classic Platformer, But Then The Character Started Performing Actions All On His Own!",697559,5
Bloodlust,695626,10
Nose  Bots,699670,4
BEAT TRIP,692904,55
FROG,696852,7
Go Home.You're Drunk.,696909,13
Apothecary,693302,9
Keep ctrl,695887,18
Chaos Farm,698986,5
Towntown: Out Of Control,698500,16
Teleporter Trouble,699471,17
Uncontrollable Dream (Gmtk game jam 2020),696693,16
Gumball Panic,698211,8
Stranded Monster,698199,12
Agent Out Of Control,700556,3
Circle Collector,696571,6
Glitchiana Jones and The Temple of Random,694300,5
Runaway Train (Game Jam Entry),699827,13
Soul,696148,6
Rocket Crash,694108,14
Robo Push Pole,696920,105
Quaternion,699546,7
Mausoleum Maker,700127,30
Time Fracture,696818,8
OutOfControl-lerCoaster,696796,5
Stop the Machine!,698527,4
BS-9001 Quality Testing,694434,23
Control Trader,695737,14
Tipsy Spaceship,697138,18
Controln't,697093,97
Echo Sings at Night,695955,17
You are not the hero...,700011,25
Get Brouted,700120,14
Luckest: The Game of Chance,699177,4
"Please Remember... You are egg, do not smash!",699368,6
Ballue's Gravity Grind,698077,5
Corrupt-O-Bots,695098,21
Super Space Janitor,699294,9
Spellbinder,694604,5
Lab,700248,5
Ashanti's Quest (read comment),697897,8
Spider Farm,697804,5
Sinking Systems,698413,14
Einstein Rolling,699610,4
Blue + Red,695184,5
CES,698345,5
Tome of the Abyss,699760,4
Someone's Dungeon,694276,19
Human Cool Party,697519,5
"No Breaks, Oh Well",698134,6
One Button Dash (GMTK),698201,7
Spaced Out,696545,10
JUMP FACTORY,694610,45
Game.Randomize();,697412,6
Stroke,698254,65
OutOfControls,696698,10
win,694417,5
The Kinda Controlled Climb,698912,8
Little Chaos,695013,13
Adware Out of Control,698762,20
Minus Jam Edition,693315,9
Confrontation - GTMK 2020,697960,6
Vile Vial Monster,698860,5
3 Bullet Gun,698002,5
POWPOW Shoot,700373,5
Gun Extravaganza,697533,20
Salvage (GMTK 2020 Jam),694563,21
Keyboard Escape,694260,28
UntitledRocketGame,698658,4
Moths when they see light,699801,4
Crowd Control,699614,24
Herb Your Enthusiasm,700797,1
Plot Armor,699948,23
Trajectile,696330,9
Kleurpuls,695763,7
Alcotron,697440,6
Keyboard Master,696201,5
Turbo Neon,697491,5
AetherRunner,693829,24
Out of my Hands!,699528,4
Silver lining,697011,15
GMTK Jam 2020 - Out Of Control,699874,10
Auto Admiral,699327,7
Zoological,697277,5
Wayward Wings,697132,5
Just Breathe,694085,11
Drunk Space,695731,8
Out of range,693837,15
Area Control,700329,4
The caretaker of the ship,696637,5
No Ctrl Drive,695768,6
Forest Dash,699690,15
RicochetRampage,697643,5
Normal Diner,695832,25
Dungeon Layer,696844,4
(GMTK 2020) Total System Faliure,695567,13
Oversight,697267,9
Calibraception,697633,4
Pottery Run,695442,23
Alien Control,696657,16
Elephants on Ice,697369,23
CRAWLERS,699221,5
No Time For Caution,696365,14
Cleaning The System,695696,16
Asteroid Bank,694791,5
Rougebot,700045,5
Make Way for Noise,697501,20
Geometric Insanity,694312,29
Warlord,693033,4
Border,697779,30
StarCube,695369,6
Heart Break Game Jam VER,699992,14
"Just one more drink, please.",698679,7
Gravity Spark,696945,4
RogueBot - GMTK JAM 2020,697648,5
Space Cthulhu,700327,5
Why Can't I Just Speak Normally To My High School Crush?!,700282,71
Gov Sim,694432,15
Potion Panic,697868,67
Click Drive,699537,4
mazeroids,698969,4
Slime Control,699475,3
Out Of Slime,697854,5
Space War,694693,22
Bridges,700548,13
Overgrown,698694,4
Turn Or Die,697912,10
S.S.O.S.,698288,5
Rapid rabbits,699067,13
Lost CTRL,698903,6
Limo Limbo,696935,14
Strongest Potions,697530,20
Crazy Zoo,695969,4
Battle for Tinor - Jam Edition,699780,16
Art Critic,698766,19
Moving Out,697126,17
Marble Quest,693503,22
FLOOOOOW,696505,13
Jamba &amp; Jambe - Out of Control,696396,20
WildFire,699239,23
ALILO on a busy planet,698096,7
Atomic Ball,693778,8
Fix and Land,697876,7
Working from Head,695226,4
Chaos Grounds,699684,8
Plug and Play,697199,7
F is for Forward!,693434,9
Highway Out Of Control,697145,6
Wacky Ship,694200,22
Sheepdog Journey,700440,24
Plastic Cave Adventure 2,700100,6
Out of Control,696025,4
Tadpoles,696817,5
Friday Frenzy,699198,3
Corrupt Camera,697765,7
Pick Up and Play,697124,4
Veloshift,699803,5
Mister Detective Man,699539,8
Overpopulated,700136,62
Lost Control,694723,5
ControlBlocks,699168,6
Balls of a Broken World,696492,19
B-LEAP,694590,8
NightDream,700753,6
Fire Control,698753,7
Lost in Space,696592,4
Untamed Creatures,699025,7
Outwired,695714,10
Module Overload,695756,6
Mouse Game,699687,4
Nyctalopia,696709,4
OUT OF X,698362,14
Benny´s Break Room,699719,32
Tune,695274,5
Semi;Colon,694746,4
Diverge,695045,19
My grandfather,695395,4
System Failure,698734,4
Smooth Like Butter,700147,12
The Revenge,698583,4
Robot Run,695036,14
Waste Waster,695723,6
Vive La Slime!,700089,3
Space Ricochet,698639,24
Weird Space Drifting,697435,4
Ahh! IT'S ON FIRE!,696278,7
"Murmurs, Clouds, and those Gosh Darn Flying Sharks",699220,10
Rabbit Babbit,697605,16
Searching for paradise lost,698589,9
Out of Controls,698625,11
Teach Me SenpAI,697785,60
Tower Tour,684181,17
Demon slayer,693625,14
Doctor Platform,699096,15
Ground Control,646907,10
Perspective,694074,12
Desert Drift,699081,3
Out of Controller,698525,17
Rotational Shift,697800,249
Predomination,693874,24
Space of control,698320,19
Fish 'N Slide,696692,20
Kido,699612,8
Out of My Control,698305,6
Fallen Burster,694058,14
Luser,697080,16
Outta Control!,694909,9
"Let me play, please",695891,5
Dungeons For Dummies,699622,17
Prototype 13,699360,7
Delivering Freedom,697788,21
NPC Shop Keep,697420,13
Out of CTRL,699480,18
Lab,695445,7
"""Good as new""",696048,7
[DIS] Assemble,696925,22
Cards And Magic,694388,12
Easter Stone (GMTK Jam20),697601,6
Fight For Control!,694933,6
AlphaBeat,699679,14
HomeTRL,697288,9
DoorsOS,698322,4
ZenControl,694476,0
Dauntholde,698685,5
An Absolute Disaster (from which there is no escape),694829,20
OverGrowth,696643,19
Some Days...,697051,13
"Ctrl, Alt, Del",699859,7
Don't Lose Control,697929,20
Artistic Representation of A Life,697311,20
Card Wranglers,697892,9
AaaAaAaAhhHhH!,696182,14
Obstacontrol,693582,31
It's Over,697741,37
Dash Daring,699636,9
GMTK JAM 2020 - WHEEL TURRET,696399,17
Stickman's Hell,698032,4
block boy,694686,16
Monster Vs Mercenaries,694504,6
Out of Controller,699419,11
CoStar,700587,3
Landscape Tactician,700239,0
DOG PLANT,698593,5
Redux,695217,7
Realign,698768,4
The tendie escape principle,698755,19
Unstable Slime,699074,4
Drunk Way Home,695309,9
Bonsai Fairy,698490,16
President Trump,696770,20
Winday,696655,4
Purgatory,698103,5
Edge of Influence,699663,6
Runaway Russian - Mechanized,695907,4
Out of Control TD,698178,16
Curse of the Delivery Boy,698784,19
Rebind,700909,19
Opposite Day,695928,5
Remote,699758,5
Out of Controls,699033,16
MasterThought,694218,4
Pig Lebowski,696024,4
Rogue Assembly Line,697330,10
Lava ESC,697291,13
InfeXtation,699930,7
Robot Overload,696274,10
Traffic Jam,697207,14
The Haunting of the Robot Custodian!,697562,14
Crazy TV,696893,4
Input.GetKey(),699852,4
Walking Beef,699845,4
Tinker,697303,25
Buildifactory,697514,9
Joint Temporal Custody,694344,15
F-Rabbits,697890,4
Bouncy Ball,694413,11
Hoverboard Heist,699835,5
Saint In Control,696390,5
Wrack &amp; Rune,695187,41
SlowBurn [GMTK20],695827,4
Troubleshooter,700344,60
Mission: Uncontrollable,699659,6
Airlocked,695271,10
Berserk Engine Tank,696243,12
Cherry Out Of Control,697168,5
MOV,696323,23
Operation Kerorush,697884,4
Jumps Per Minute,694851,6
Control Commando,695109,9
Runner Dumbs,699648,7
Clank,696750,10
Remote Defence,694542,52
Bar Brawl,695761,19
Uncontrolled Harvest,693757,22
T-0C a GameJam gam,693011,6
Dice King,697478,15
Sparkle,160599,17
Running Leroy,694771,13
ControlUnit,697351,6
And They Also Roll,696934,15
Mob Mall Madness,696722,12
The Unepic of Pablo,698624,3
Control Freaks,697660,9
Goblit,696976,4
Hamster in Space,694192,8
Bullet storm,699353,4
Dragon Untowers,700377,8
Exponentia,698736,5
Adventures of HOCROL,697117,14
There Are No Eyes In Space,697436,5
Everything but the Player,698888,3
Pit Fighters,696186,6
Shield Bearer,698708,28
Pong Pong,694649,22
Task Management,695480,18
Breakout 3D Arcade (GMTK Game Jam 2020),700217,5
Back Seat Driver,693375,9
delay,696028,5
Out of Controls!,699628,5
Crazy weather,697666,12
Faulgine,698321,10
Catharsis,694366,14
Binary Towers,693696,7
WASD to Move,696220,6
chaos lab,699341,15
FireClusters,698222,5
Deadsperados,699002,13
Random Night(GMTK jam 2020),696223,6
Im-PAINT-ience.,699981,6
Controlla,700905,4
Music: Out of Control,698803,12
Sandstorm,696339,5
Coin Pooper,696833,15
Chicken Chase,697297,6
CrazyCab,696178,7
Never Be Angry,697595,7
leave me alone,697265,6
Three in a Rogue,698401,23
Cursed Harvest,695922,5
Impossible Rally,697493,6
A Log Time Coming,694702,23
Temple Flop,699889,5
Entity,698218,7
Donut Abductor,696547,11
The Fibonacci Apocalypse,695953,8
Troll Ball,699028,9
Mazel Tov!!,699994,4
"Help, my spaceship is being hacked",695782,8
a Walk With Sunshine,694929,5
Cross Worlds,696576,6
BALLS and EXPLOSIONS!,694246,88
Slime Rocket,698499,13
PARALYZED SQUARE,700544,9
Honourable Retreat,699629,11
Blindvolver,699497,4
Cave Lander,694636,9
Hyper Catapult Driving School,699544,6
Timed Control,699364,11
Brakes Optional,699403,4
The Best Empliar,698311,4
Wild Magic,695143,13
KILL AND BE KILLED,698521,4
Normal Golf - for normal people,700453,8
Space Cadet Pahgo,695272,12
INPUT,699915,9
Perfectly Normal Game,697805,5
The Watcher,696789,15
Stonks Market Sim,693291,27
Floppy Control,700388,4
Operation: Mad(ly in) Love,698610,6
DON'T RUN OUT OF CONTROL,695954,6
The thing that walks in the night,699140,3
Off the Rails,696315,20
Chuckin' Chicken,695387,22
RGBSpace,698516,7
Controln't,698457,8
Kontrola Virus,696462,4
Infinity drive,696588,7
Accident weather,699073,6
Hog Wild,698550,6
Landlorder,699080,15
Time &amp; Space Shenanigans,694934,19
SPAUN,699662,6
Pixelated Chaos,700800,8
Don't Text and Cycle,697289,26
Runaway Robot,695035,5
Hyde Pusher,699666,8
Torpedoh!,698423,6
Tristitia,700916,15
THE BISMUTH PACT,693891,16
Malfunction,698370,12
Scrap Boy,699926,20
Enigma,693464,8
Zealot (Jam 2020),697312,4
SpinDiver,698014,4
Robooc,695531,16
Buzz Control,696075,8
The Trolley Problem Simulator 2020,699505,12
Control Breach,698235,7
Faulty Fliers &amp; Bad Bombers,699190,4
Birthday Time,687837,26
SHEEP IT !,697054,15
Clumsy Goblin,693718,10
Quantum Pulse,699893,7
Weather You Can Move,694865,4
Button Dungeon,700343,10
Orbital Madness,699736,12
Evolution Gone Wrong,697121,8
"Our Castle Is Running Away, My Lord!",693151,25
"GMTK gameJam ""Enemies, coins, and more enemies ~A puzzle out of control""",696401,27
Lost Dog(s),700061,5
A Quiet Night In,698494,8
Runaway Robot,699460,8
Tank Terror,694641,23
Tri-Body-Count,699169,5
Tilted!,696622,11
CHEAT SHEET WINGMAN!,698857,4
Headless Chicken (Very Early),698763,3
Fwitter,698489,5
That's Not A Weapon!,699383,7
Airpoop,699853,5
Last,697150,6
Shades of Justice,698208,7
OOCTD,696927,11
IIINEVITABLE,697989,14
Control your Empire,697072,6
Trigger Crappy,700233,5
Enraged!!!,696256,6
Sumo Rampage,700512,24
Finder for GMTK 2020,695407,7
CURSED GUN,688562,19
GMTK 2020 - Haunted Thief,699358,6
Stomach out of Control,696792,18
Musical Madness,696748,14
Panic,697107,11
Cosmic S.N.A.F.U.,700904,11
Tetrizo,693870,16
Simple Platformer,696460,11
Hack Out,699051,5
Songbird,698011,48
A Windy Morning,698778,4
Z 2 Shoot,699160,9
The Voices and the Fury,695925,5
DeadZone,696843,4
The Glitcher,694307,4
Adrift,699337,18
cused cube,697673,9
Lobotomy,699494,13
Nuka Mayhem,697271,6
Lost in Translation (and space),696954,97
TheOutBreak,697434,6
JAZZZ,697316,22
They Keep me Rollin' [GMTK-2020],695732,20
Mixtape Mage,694714,8
Rocket Powered Tin Cans,694403,14
Black Out,698286,5
The Dapper Gent,700780,10
Possessed Typewriter,697751,8
End Of The Road,699007,5
(My Personal) Bullet Hell,696495,16
Dérive,699088,14
Faulty Control,698701,5
Star Controller,696553,21
Fartocalypse,699834,3
You Have No Control Here,698715,9
Panik Atak,697400,34
bumper car,700177,12
Possessive,694876,5
No Gun Control,695578,13
Mr Popular,694494,10
Out of CTRL,694887,4
Hexfence,694692,5
Out of COVID-19,695212,6
Out of Control Space Shooter,695257,5
Mr. Weenie's Odyssey,697000,5
Fields of Force,699631,11
BubbleGun,700062,6
Breed Brothers,696519,8
OneShotTheDemonLord,695956,6
Among The Leaves,697343,9
Level Madness,694407,9
Control Zone,698434,5
The Amazing GentleBot,697662,13
Good Night Jhon,700078,5
Beer Run,698878,5
MONOLITH,694458,43
Magical Screw Up,693707,10
Out of Control,697675,7
Shivvver,698822,7
World of Hack n Slash: Friend Simulator,699529,5
...Toil and Trouble,697704,14
Fishy Friends,699159,5
Messed Up Robot,699606,6
Karate Kitty,698548,19
Bushfire,696438,25
Uncon,695970,4
Frogged Wizard,700274,14
Weapon Possessed,696823,36
ALCHONAUTS - Outta Control ! (Can they be stopped? will they be stopped? probably not.),697612,11
Jump Now,695798,27
Out of the Pan &amp; Into the Fire,700415,3
Gooey,694522,5
The Orb,696697,23
In Put In,699458,8
Reactor Control,697847,9
SCKOLB,700580,7
Out of Control,700142,9
SlowFro,697872,4
Planetary Postal Service,696896,5
Control Panel ON!,694815,21
Gunlocked,696850,13
Robo Racket,695469,4
Frantic Space,698268,7
Out of Control,699000,18
Out of Control (Points),700731,3
Cursor's Curse,694119,11
Wild Rover,698970,7
Volver 420,696845,7
The omnigun,699444,16
Arcana Animalis,694226,54
ESCAPE CONTROL MALL!,693395,13
MalFunction,700737,8
Last Meow Standing,697165,24
100% Control,697338,6
Aztecla: Temple Of Keys,693976,16
Duplicating Adventures,696995,17
Control Keeper,697900,29
The (hacked) Misadventures of Botsworth,698756,4
Don't Ruin my Grove,695629,7
CRAZY WHEELS!,698009,5
KeyBreak,697114,5
FIRSTREALLYBaDGAME,699734,7
Control Freak,697386,6
DURBI IN SPACE,699545,9
SQUIRE!,697429,6
Finding Peace,696104,87
Balloonife,697437,37
Unstoppable,694338,21
This Isn't Tennis Practice?!,697513,3
Generic idle game no. 674054,693074,10
Rand(x),700796,4
Village of Fate,698880,9
Virus Control,695602,6
Across the Isle I see,697848,4
Highway 35,693259,27
InputBuffer,694951,4
Host Shift,699112,8
Insanity,696322,11
WeedWhacker,696754,15
Control Freak,699911,5
Explosive gun,699807,14
Gravity Flip,698269,10
"Run, run, run!",695029,10
Bullet Train Hell,699143,10
Shakey Sails,697152,5
Sky High,699562,7
ZeroControl,695495,13
Catastroffice,699846,4
Angry Old Jeezers,699637,3
Out Of Control Flow,694736,34
Roll the DIE,695162,45
Jalopy,696176,15
Random Walking Speed Generator,697164,4
Tarzan,697905,4
The (Rejected) Gun Factory,693222,10
Chick-Gun's Headless Adventure,695734,6
Pulse,698162,4
Blazing Battlestar,694766,13
Anger Management Arena,696382,60
the alcoholic,699091,4
Trace - Constellation,695893,30
RandomizeJumps!,700496,7
Comp-Troll,700049,4
Keys,697949,11
Blow Me Up,693703,12
Gunpowder,699467,6
Recover System Control,694598,10
Hamma Hat,696978,48
Drifting Vroombas Battlegrounds,698164,5
t h r u s t,696877,27
Goatball,697296,33
Control yourself,693320,4
Mini Map,694389,55
By the Fates,696499,5
Walk Your Dog,697842,9
Quack! Cheep! Fox...,697507,4
[UNFINISHED] Unnamed Second-Person Shooter POC,699538,3
Don't Screw It Up,697071,4
Varda,697482,13
"- You Can Try To Run Forever, But -",694377,11
Rotato Ship,694569,80
Outta Control Dude,693524,6
Out Of Town,698160,6
MicrophoneShootEmUp,695861,6
Hacked!,698789,13
Out of Ctrl,700569,4
Mini-Planets! For the 2020 GMTK Game Jam!,693368,21
Insomniacs Get Some Sleep,695764,108
Out of Control,697195,12
Missing Input,696266,6
The Hose Knows,696942,6
OfflineInternetLaggs,699604,5
Piano Man GMTK2020,695477,13
Baaaaad Neighbourhood,696828,39
Coop Directional Mayhem,699437,9
Big Crystal Big Responsibility,693974,12
Orb of Eternal Life - GMTK 2020,693717,8
Broken Light,697173,38
FranticFarm,698728,4
Little Astronauts,696617,12
Medieval Nanny Simulator,696033,60
RandomShooter,696297,26
AIMLESS,695356,20
Ctrl+Alt+Eject,698278,6
A Vase Half-Full,696740,5
Control,700242,4
Life's a Chore,697411,29
super blasteroids,694684,10
Are Control-likes and Japanese RPGs so different?,698244,6
Loose Goose,695361,7
Keep Them In!,700782,5
Might Be Broken,698226,5
Ship Taker,699743,6
Rickashay,694137,12
Morning Wood,696473,20
Protect your house,698493,4
CONTROL'NT,697356,29
Club Crawl,698175,5
Broken Tank,693930,15
GMTK - Play Pen,696774,5
RE_loaded,699082,8
Neon Jumper,694705,4
Outlaw Outrun,699320,8
MONO,694121,20
Dispose It!,698453,15
Farmer Joe's Nightmare,698246,8
Forward Thinker,696549,22
Robot Defence,699865,5
Dreaming,696955,15
Rumor Has It,697162,10
out of CTRL,700320,7
Dog Walk King,697976,9
Riotous Railway,696273,11
Probably death,700232,8
"BOATS, PLANES, BOOM: NO CONTROL",696351,16
Dodgems,696912,13
A Call 4 Comfort &lt;3,697425,21
CONTROL IT,695188,8
Going Balistic,699276,0
Short Circuit - Game Jam Version,700151,3
Zooted!,697186,17
Dangerous Down the Hill,696864,18
UNMAGEABLE,700087,6
Collision Course,695247,18
Cataclysmic,691896,18
Frictionless,693338,11
Time Controls (GMTK Jam 2020),698615,13
Version Control,695509,7
MAD ZEPPELIN,698797,4
DetonMotion,700817,3
Space Cardet,698673,4
This Is Mutiny!,696184,6
Ctrl-Alt-Move,697497,4
Glorious Zagorgkzkiy Test Facility No.37,694912,7
Magegement,696456,13
Ahead of the Curve,694310,6
Hope,698826,3
Cam-Control-Chaos,694266,8
Don't feed the gobbo,693750,17
Oh No Fruits!,694821,8
Plan of Attract,694482,10
Hunger Game (GMTK GAME JAM ENTRY),699946,8
RoboPup,697453,4
"I control my life, but...",693949,17
Fungi Farmer,693579,22
Out of Key,696209,10
Farmania,699664,4
Backseat Beebow,695079,47
Tophet,698932,23
Bullmerang,694960,17
Space Drifter,698335,4
Runaway Truck,699247,23
QuakeRun,700057,6
Let The Hands Go : Pixel Boxer,697197,7
Out of controls,699204,4
Sneeze Fire,697488,9
Splitting Gravity,700134,6
Passenger,694244,19
Cannot Adventure,697729,21
Self Control,694995,15
Rise of the Evil Dangerous Faulty Electrical Devices,699644,15
Out Of Controls,697773,11
I'm Not A Robot,695933,28
Cantsteroid,695757,27
Side Effects Include:,699106,15
Hiccup,697402,19
contumacious quest,697628,7
Ice Ice Meow 2 - Let's kick some ice!,700068,20
"Roll, Riches, Run",696963,6
outofcontrol,694436,5
The Left Game,698897,9
Evening Post,695718,3
Moth chan's Chaotic Adventure,697379,12
Too much control,699404,15
MusicFlow,699256,28
Out of Time,697760,12
Keyroot,700289,5
Pogo Travelers,693901,23
Panic Reload,697986,4
The World's Easiest Platformer,699248,39
Mission Control,695286,15
Artificial Anxiety,696011,22
Midnight Nightmare,698614,11
Down Side Up,695397,15
CYBER CONTROL 2020,695815,14
Balloon Fishing,698759,9
Arcade Maniac,694750,14
Lights Out,698767,4
Galaxi,698562,17
Aaaaaaaa Sheep: The SheepWolf Simulator,698334,4
In For The Ride - GMTK Game Jam 2020 submission,695518,8
Mechanicum,698555,4
Funky DonKey,699762,7
Missing key,696979,6
UFO Sprinter,695784,20
Faulty Schematics for a Broken Machine,699572,9
"Another day, another argument",697874,10
EYE STRAIN,696163,9
BugsOutOfControl,696375,5
FLy,695994,6
Time Travel Shanty,700907,5
Remotely Lost,699438,14
Havocation,696609,28
OVERLOAD,697685,22
Jerry 2: Herd of Cats!?,697518,4
Nmilo o mantihosh,696894,6
Advance,696635,7
The holy can of the cannery,693679,18
Ordinary Day - GMTK 2020,699594,16
NOTCOOLTOOL,699259,7
Don't let light scape,699885,15
"I, a Witch, brought a malfunctioning broom to my Broom Driver License test and now everything is a mess and I wanna cry",698092,5
Speed Is Getting Out Of Control,697364,8
Keycapper,697194,6
TEST PILOT,700513,5
Pit Against the Rest,695234,11
Need some help,697125,11
Quarantine Time,695556,8
Qwerty Harry Teaches Typing,700822,29
Eggscape from the kitchen,697632,4
Deceptio,694635,10
anathema,694999,7
Plains of Slaughter,696362,4
island sprout,697835,6
Panic Factory,698309,6
"Houston, we have a problem",699484,4
Bad Bots - GMTK 2020 Jam,699374,48
Corps`n Dungeon,696002,4
Please Keep Off The Grass!,695688,10
Ray Cathode,696656,4
Chaos Control,699978,11
Out Of Rails,696674,5
Novel-19,695598,5
Running Dog,696751,7
Ctrl,697767,16
Wild Ride,698095,4
Lockdown Day,693590,23
In Bounceland,698102,4
Cowboy Cookie,697129,12
Space Jammers,699667,4
"Boxy see, Boxy do",698041,21
The Cloud Hero,180447,8
Moonshot,693783,18
Guntrol,698838,5
Gravity Control,697862,6
Mindless,698364,10
Dédale,695985,5
Dungeon: Out of Crtl,699841,24
Alchemist,696526,5
The Trial,695463,3
Factory Reset,696668,7
Losing Control,693784,9
Possessor,696344,5
Out Of Controls,697556,35
HANDHELL,697676,22
Cat'tle Herdin',699771,54
BadYak,699395,5
Emergency Protocol,694239,35
Avoid Conflict,694423,26
M VE,698793,8
ProjectNaniKore,694874,6
Voyager,699310,10
Dead Rounds: 213X,695192,9
Hostile Tankover (GMTK 2020 Submission),695225,12
BeanDash,695615,20
Honest Space Penguins,699903,33
No Don't,696746,16
Out of Ctrl,693126,45
Controller,695760,6
Sell Faster,700491,6
W.I.P,694808,5
Bot Game,699761,12
Back2Basik,698215,16
GlitchWaver,695541,6
Springsuit,699086,3
Overture,693792,6
Henri goes to war,697097,25
GMTK Game Jam 2020,699412,4
Get Glitched GMTK 2020,693575,42
Burocracia,699396,6
Broken Engine - GMTK Game Jam 2020,697007,12
Inertial Drift,697060,5
Game Fixer Kit 2020,698449,24
​Drunk Adventures,693635,12
SlimEscape,698726,9
Infectous - GMTK Game Jam 2020,697498,85
Rebind,696712,12
DraGGoning,698524,4
Out of Control,695460,20
Bunny Hop,693017,18
Where's the jump button?,698705,10
The Inner Workings of Tetris,695278,74
Shell Shock,694538,5
Alkadios,699813,8
Astworoid (2-Player),700243,12
Pizzaliano Zadeemeri,699429,9
Kiss x Control,695543,10
Forest Fire,698943,7
Keep Control (with tutorial),700892,6
Cinderwane,697899,9
Out Of Control,696650,4
Don't Get Mad,695698,4
Duncan the Diamond Thief,698898,5
2120,696868,23
Consphereacy,695767,14
Ice Is Nice,698048,4
What the Shepherd Sees,698647,5
Fuelless (GMTK Jam),695858,7
More Drink More Drunk,697427,10
T Minus X,696110,14
Slippery Steering,695102,4
Me,464614,4
The Maze,697528,4
Crazy Camera,694731,22
Ragemaze,698853,4
Zone of No Control,700234,13
Mitosis,697914,24
Grappactory,698751,9
Blood Croquet,698535,5
ZC Virus,696572,21
Factory Control,695765,7
Stay in Control,696250,6
Game Uncontroller,699312,13
Hidden Platforms,698511,6
Broken Voyage,700174,3
spin man,695532,7
Parsec Postie,696644,6
Nano Digit Classic,697801,7
Rooftop Gnome,697695,9
In Control,698573,5
Happy Burning!,700002,7
Stressed Game Creator,699049,3
Out Of Buttons,696831,9
Hole alone,581586,13
CombustionIsland,696807,5
BEEPIS AND BOLTHEAD DESTROY AMERICA,699691,6
The Bad Wizard,699810,4
GMTK_GameJam2020_UnfortunateSpace-Jam,693404,9
Mutation,697348,6
Authority,696904,18
Control.Point,695717,4
Submarine Panic,694025,8
Jammed!,700574,4
Communication Delay,699917,4
Robo Bypass,698630,7
Flying Blind,697634,7
GMTK2020 - BOUNCESTRONAUT,700044,6
Engine Gremlin,699278,6
Chaos Titans,699968,4
Avalanche!,694313,6
Sunny Day,694939,8
lost control - zombie edition,696820,96
